code,count
berc,3075721
beru,1483136
ortg,1027757
orta,994622
ortw,922412
affi,911276
ortv,667858
obin,577493
adue,453894
orts,296825
bezf,267453
kom1,249504
geow,221156
nach,178011
vorg,175244
them,158215
stud,141895
obpa,118130
istr,115219
obal,113725
aut1,110425
beza,106279
rela,67667
vera,41516
vbal,39855
geoa,26994
kue1,18263
adel,17556
auta,16364
akad,16185
obge,15809
bezb,14336
dich,12618
ortc,12419
pseu,12274
besi,11616
vorl,10983
werk,10389
bete,9760
nawi,9262
urhe,9111
arch,8948
libr,8463
orth,8445
mitg,8226
ortx,8094
funk,7334
saen,7069
grue,6231
hers,6015
nazw,5150
koma,4548
regi,4226
spra,4029
punk,3595
feie,3342
istm,2781
saml,2205
hrsg,2149
spon,2071
kuen,2031
musi,1992
widm,1982
befr,1312
ortb,1195
stif,1191
aust,1059
vfrd,1008
korr,759
uebe,491
bauh,474
autg,386
komz,369
kueg,329
verr,269
komg,265
adre,240
komw,225
illu,211
bilh,207
kame,188
arra,155
chre,137
kuew,116
erfi,104
bear,93
ortf,91
autw,90
anla,76
comp,76
spre,75
kopi,66
druc,62
foto,54
datv,53
kura,45
grav,43
datw,42
reda,41
autz,40
datl,20
autf,19
kart,18
malr,16
nafr,15
nauv,13
nasp,12
dats,7
datb,7
leih,7
skri,6
komm,4
rest,3
bubi,3
desi,3
radi,2
anno,2
datx,1
datj,1
gest,1
lith,1
abku,1
